veh,logfile,line,date,time,secs,speed (mph),long,lat,x-ft,y-ft
C548,1,46569,4/20/2009,18:20:59,18978,39.4,-58.539463,33.49501,-22558251,15486861
C590,1,99281,4/20/2009,18:21:00,18683,0.2,-58.357477,33.470138,-22509999,15477790
C832,1,37608,4/20/2009,18:21:00,17849,31.5,-58.475750000000005,33.486167,-22541363,15483636
C548,1,46570,4/20/2009,18:21:00,18979,38.7,-58.539259,33.494966,-22558197,15486845
C590,1,99283,4/20/2009,18:21:01,18684,0.2,-58.35748000000001,33.470139,-22510000,15477790
C832,1,37891,4/20/2009,18:21:01,17850,30.4,-58.475756000000004,33.486290999999994,-22541360,15483681
C548,1,46571,4/20/2009,18:21:01,18980,36.9,-58.539063,33.494923,-22558146,15486829
C590,1,99285,4/20/2009,18:21:02,18685,0.2,-58.357483,33.470139,-22510001,15477790
C832,1,37893,4/20/2009,18:21:02,17851,30.0,-58.475761000000006,33.486412,-22541358,15483725
C548,1,46572,4/20/2009,18:21:02,18981,35.8,-58.538876,33.494884000000006,-22558097,15486815
C590,1,99287,4/20/2009,18:21:03,18686,0.2,-58.357485,33.47014,-22510002,15477790
C832,1,37897,4/20/2009,18:21:03,17852,28.6,-58.475769,33.48653,-22541355,15483768
C548,1,46573,4/20/2009,18:21:03,18982,35.3,-58.53869499999999,33.494844,-22558050,15486800
C590,1,99319,4/20/2009,18:21:04,18687,0.2,-58.357487000000006,33.470141,-22510002,15477791
C832,1,37905,4/20/2009,18:21:04,17853,26.4,-58.47577700000001,33.48664,-22541354,15483808
C548,1,46574,4/20/2009,18:21:04,18983,34.9,-58.538516,33.494803000000005,-22558003,15486785
C590,1,99356,4/20/2009,18:21:05,18688,0.2,-58.357488000000004,33.470143,-22510002,15477791
C832,1,37907,4/20/2009,18:21:05,17854,24.6,-58.475781999999995,33.486740999999995,-22541352,15483845
C548,1,46575,4/20/2009,18:21:05,18984,34.4,-58.53833900000001,33.494763,-22557956,15486770
C590,1,99358,4/20/2009,18:21:06,18689,0.2,-58.357489,33.470145,-22510002,15477792
